City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,codrington,-38.2667,141.9667,29.8,30,0,1.62,AU,1708476435
140,christchurch,-43.5333,172.6333,20.85,42,12,2.57,NZ,1708476436
141,otyniya,48.7377,24.8611,5.05,82,100,1.15,UA,1708476436
142,sinan,34.8262,126.1086,8.06,87,100,6.1,KR,1708476436
143,jamestown,42.097,-79.2353,1.92,62,2,1.34,US,1708476407
144,newport,51.5877,-2.9984,10.25,95,100,4.0,GB,1708476234
145,tadine,-21.55,167.8833,28.07,76,40,7.98,NC,1708476436
146,hermanus,-34.4187,19.2345,18.78,84,81,3.75,ZA,1708476436
147,margate,51.3813,1.3862,9.94,83,100,3.58,GB,1708476437
148,ust-nera,64.5667,143.2,-30.85,96,84,1.25,RU,1708476437
149,aldinga beach,-35.2793,138.4604,35.98,35,4,2.15,AU,1708476248
150,bonthe,7.5264,-12.505,26.5,91,83,2.07,SL,1708476437
151,las khorey,11.1595,48.1967,24.08,73,30,2.91,SO,1708476437
152,statesboro,32.4488,-81.7832,10.89,63,75,0.0,US,1708476437
153,wynyard,-41.0,145.7167,18.65,95,94,5.24,AU,1708476437
154,whitehorse,60.7161,-135.0538,3.43,64,75,8.75,CA,1708476437
155,cooma,-36.2333,149.1333,22.13,49,95,2.72,AU,1708476438
156,remire-montjoly,4.9167,-52.2667,26.02,83,20,1.54,GF,1708476438
157,ad-damazin,11.7891,34.3592,28.06,23,100,3.02,SD,1708476438
158,linhares,-19.3911,-40.0722,23.98,96,100,3.85,BR,1708476438
159,kununurra,-15.7667,128.7333,26.99,94,75,5.14,AU,1708476438
160,lihue,21.9789,-159.3672,26.58,51,0,5.66,US,1708476438
161,teluknaga,-6.0989,106.6381,30.1,94,40,1.03,ID,1708476438
162,ouesso,1.6136,16.0517,24.13,73,100,1.1,CG,1708476439
163,isangel,-19.55,169.2667,29.06,89,75,1.54,VU,1708476439
164,kralendijk,12.15,-68.2667,26.99,78,20,5.66,BQ,1708476177
165,cockburn town,21.4612,-71.1419,23.81,79,100,9.76,TC,1708476439
166,saint-marc,19.1082,-72.6938,25.8,75,9,2.71,HT,1708476439
167,sisimiut,66.9395,-53.6735,-8.61,81,100,4.46,GL,1708476440
168,pamiers,43.0833,1.5,9.5,39,100,1.32,FR,1708476440
169,radebeul,51.1065,13.6605,8.75,86,0,3.6,DE,1708476440
